data	B6_i	B6_ii	B6_iii	B6_iv	B6_v	D2_i	D2_ii	D2_iii	D2_iv	BXD1_i	BXD1_ii	BXD2_i	BXD2_ii	BXD5_i	BXD5_ii	BXD8_i	BXD6_i	BXD6_ii	BXD9_i	BXD9_ii	BXD11_i	BXD11_ii	BXD12_ii	BXD13_i	BXD13_ii	BXD14_i	BXD14_ii	BXD15_i	BXD15_ii	BXD16_i	BXD16_ii	BXD18_i	BXD18_ii	BXD19_i	BXD19_ii	BXD20_i	BXD20_ii	BXD22_i	BXD22_ii	BXD27_i	BXD27_ii	BXD28_i	BXD28_ii	BXD29_i	BXD29_ii	BXD32_i	BXD32_ii	BXD34_i	BXD34_ii	BXD39_i	BXD39_ii	BXD40_i	BXD40_ii	BXD42_i	BXD42_ii	BXD43_i	BXD43_ii	BXD44_i	BXD44_ii	BXD48_i	BXD48_ii	BXD50_i	BXD50_ii	BXD51_i	BXD51_ii	BXD55_i	BXD55_ii	BXD60_i	BXD60_ii	BXD64_i	BXD64_ii	BXD68_i	BXD68_ii	BXD69_i	BXD69_ii	BXD73_i	BXD73_ii	BXD75_i	BXD75_ii	BXD79_i	BXD79_ii	BXD83_i	BXD83_ii	BXD86_i	BXD86_ii	BXD89_i	BXD70_i
Cd38	2.946939594	2.55824116	2.88859357	2.83393203	3.316906937	2.44223024	2.18236504	2.63622806	2.63629814	2.67683163	2.54629246	3.554236047	3.589591294	1.98336012	1.7999068	3.13763807	3.33437951	2.93876511	2.14759369	2.73993977	1.85051272	2.35471153	3.040171731	2.631713637	2.87955704	2.12367189	1.91093063	2.30013053	2.82865508	2.71177746	2.91399652	2.898158601	3.261215024	2.78003528	3.065722093	2.63700469	2.9443259	2.48483053	2.96618356	1.73198663	1.95202028	2.45968776	2.05840183	1.6049974	1.30855579	2.63160654	2.59242923	1.712833846	2.396468656	2.771286206	2.745324166	2.578652656	3.579425446	2.284156966	2.202267836	3.049200942	3.410541522	2.626046512	3.004642822	2.772363702	2.798035262	1.782143012	1.966429152	2.219121542	2.611251832	2.642546792	3.077299422	2.596453162	3.151210822	1.846802612	1.534346032	2.261332232	2.617782572	2.452376062	4.967875687	2.339652902	1.592285262	2.871959192	2.525885802	2.007213892	2.289747092	2.314027392	2.292983142	2.497317442	2.198344732	1.908056222	1.501170062
Trim21	0.767131082	1.420972003	0.611188412	1.050975104	0.159342491	0.338901971	0.757346098	1.103131239	1.321544305	0.025839257	0.139977089	0.195887694	0.025714866	-0.006047642	-0.026238621	1.075998621	1.581964494	0.681272622	0.787153005	1.125135621	0.366891874	0.575978811	0.077156263	0.46157261	1.39507912	1.062344088	1.675111907	0.858963051	0.734297341	0.988291908	1.060707598	0.882822917	0.373994291	1.05378138	0.62806404	1.785614288	1.24056308	0.930500477	1.355056582	0.245225595	0.122523318	0.497965118	1.067211127	0.619356966	0.83038375	0.773782974	1.489112353	-0.487590938	-0.358115837	1.322131177	0.800023228	1.010171209	0.693499483	1.590676977	1.477723669	1.462907702	1.385006277	0.224537492	0.912513863	0.666191682	0.743394708	1.680024291	0.998238844	0.265924663	0.662135277	1.098270655	1.431269878	0.537206248	0.738429728	0.121978057	1.155328505	0.006035005	0.816862247	0.27598707	0.840157167	0.787865515	0.184462299	0.718893815	0.725047218	1.389673766	0.483062373	0.197391748	0.851376118	0.539238631	0.395922129	0.35722638	0.03569486
Kpnb1	-0.34119756	-0.49514843	-0.4911623	-0.13091466	-0.49847246	-0.22905082	-0.54171447	-0.32985066	-0.4753442	-0.2948339	-0.17064308	-0.51919905	-0.62254397	-0.10430801	-0.22688649	-0.28137865	0.07006545	-0.15773073	-0.30586408	-0.48040849	-0.35187081	-0.35035213	-0.38518695	-0.26943142	-0.16682979	-0.56867841	-0.46391518	-0.2161888	-0.30293592	-0.34874308	-0.44272224	-0.31542643	-0.66279452	-0.65646744	-0.91635937	-0.55076185	0.22412742	-0.3828681	-0.64906616	0.00731418	-0.24087598	-0.18885806	-0.45442901	-0.37838416	-0.37185105	-0.62455735	-0.37200469	-0.38579324	0.18420322	-0.61762483	-0.44971336	-0.2974295	-0.14686402	-0.64515027	-0.48972736	-0.582891128	-0.531482468	-0.123753128	-0.180345228	-0.426165398	-0.540605398	-0.732627788	-0.545331258	-0.074301848	-0.025887628	-0.167952698	-0.335159738	-0.403670978	-0.300063828	-0.288903368	-0.598064398	-0.379781148	-0.419472378	-0.258723548	0.291471632	-0.307682928	-0.142472908	-0.559263898	-0.488348228	-0.438830008	-0.093050308	-0.390543868	-0.379388268	-0.332188488	-0.242401938	-0.365194938	-0.237073248
Six1	1.276148244	0.9617205	1.508173637	0.964003531	1.317920843	1.531851062	1.618137596	1.932742751	1.641765583	1.710957412	1.01482432	2.841014422	1.825464907	0.856633569	0.253291566	2.230259478	2.175697205	1.529828019	1.244482227	1.369710027	0.664995182	1.299305455	1.263164256	1.027261099	0.519196634	0.949829284	1.029304465	1.533128244	1.670316485	2.089353436	1.882026059	1.517426794	1.285119041	1.144490692	1.590974721	1.399197467	1.216434809	1.828374199	1.769673877	1.157693028	1.128493316	1.955021824	1.207842862	1.206664872	1.093782235	1.39743086	1.572005361	1.20810969	1.352422808	1.629118741	1.380475308	0.952890448	1.989906725	1.245051559	1.469307996	1.778582024	2.088957545	1.894582595	2.267569261	1.577192462	2.19557817	1.725287151	0.999781801	1.711980442	1.425381674	2.055655536	1.664430398	1.400768881	1.848425502	0.944202547	1.188547892	1.165452259	1.394206166	1.500360536	2.605988957	1.856985366	0.76103767	1.853748094	1.425175186	1.122689653	1.261102566	0.971378068	0.123198461	0.811986968	1.000455146	0.596951849	0.652746093
Slfn8	1.556907192	1.41711348	0.594653916	0.992677836	0.548362149	0.33513776	0.13866375	0.94620363	1.10448633	1.202554651	0.864981027	0.639978072	-0.054114684	-0.05153476	-0.576863943	1.1051179	1.51224491	0.0009589	-0.10414074	0.167913108	0.811195449	0.846181954	-0.08780104	1.669251115	1.29883819	0.47291954	0.58029508	-0.121957419	-0.057707561	0.72846939	0.50575001	1.223542847	1.086047279	2.149442729	1.66142232	1.31673531	2.430051089	0.89027024	0.62008624	1.003932225	-0.061265409	1.247869252	1.515642063	0.50767589	0.584209146	0.82891409	1.33138237	-0.559796297	0.487998504	1.939564008	1.17232974	1.344277259	-0.381344057	1.482643993	0.701503393	1.81154766	1.584196281	-0.0477049	0.678010217	1.349179593	1.463324223	-0.18270832	0.31382381	0.508644419	0.983549218	1.01104067	0.89053354	0.121163306	0.168251689	0.204288275	-0.49476846	0.83413756	1.29264743	-0.599961764	0.05071541	0.45912327	0.52008041	1.188655349	1.32154893	-0.07923007	0.17389563	0.219685465	1.208568044	0.7875113	0.701026652	0.798941012	0.59729053
Palld	1.547109566	1.24133779	1.187653736	1.03646786	0.104060056	-2.073315009	2.332560622	1.551652583	1.217904232	-2.095722723	0.416686431	-0.401842102	-0.146089868	0.325775313	1.318012143	-1.521242209	-0.570038599	0.54173888	-0.899907683	0.438189765	-0.281027197	1.020589426	0.0584197	-1.345782312	0.732114107	1.439413737	0.895448719	2.536299701	1.396462856	-2.166986318	1.470528918	0.358880854	-0.136145033	1.688636981	0.890535003	0.884624294	-0.309634002	-0.029606795	1.072363651	-0.640384081	-1.18366204	-1.671417313	0.584610344	1.107811485	0.848205027	-0.988693947	1.420002268	0.956772214	-2.217936706	0.901455019	1.585756265	-0.22833263	-0.15946334	1.586098656	-0.846012533	0.414002186	0.459358632	2.362686607	-0.149477998	0.279416527	0.20727358	0.678503166	-0.425152684	0.737962172	0.333549285	-0.90552821	-1.276306822	-1.058968191	-0.279603852	-0.003866473	0.945530034	-0.061624055	-0.066764051	-0.542963949	-0.698496534	-0.2666396	-0.315292764	0.418603459	0.126221586	0.522281954	0.005785996	0.976747839	-0.314592867	0.641785174	-0.186820161	1.165804394	0.387648701
Klrk1	-0.919840022	-1.263006251	-1.633904806	-2.585467712	-1.36786878	-1.099498941	-0.492780046	-0.792759526	-0.081248604	-0.984691411	-0.391111647	-0.865088695	-1.375096031	-1.143675061	-0.721289507	-1.403186448	-3.177455951	-2.677513833	-1.336006797	-1.273916842	-1.132836995	-0.52484471	-0.907632967	-0.749175723	-0.310534089	-1.889400744	-2.412124083	-0.740457129	-1.058175752	-1.205460466	-0.893834443	-1.055894885	-0.510768264	1.180530403	1.329167619	-1.499750628	-2.248233455	-0.766572389	-0.536243435	-1.629438574	-1.658088065	-1.772618866	-1.505254065	-1.098040363	-1.126519191	-0.870187766	-0.884488135	-0.983374074	-1.24918971	-1.025654204	-0.725320411	-0.864784324	-1.156812789	-1.101959408	-1.555861201	-1.265608592	-1.539212167	-0.915925023	-0.888422916	-1.718817798	-0.187798481	-1.136813861	-1.44129007	-0.371509549	-0.76239078	-0.680999003	-1.375383371	-0.492747635	-0.428958656	-0.177594811	-0.713484068	-1.689196153	-2.174216604	-0.369130391	-0.904672097	-1.216250003	-1.334764349	-1.025304569	-1.469716595	-1.744219652	-2.246943787	-0.842723951	-0.892630847	-0.738913366	-1.265526894	-1.487808057	-1.258003856
Ptgir	0.18100662	0.72050563	0.568257	0.21846569	0.01586614	-0.30468717	-0.57525094	-0.29668828	-0.4123889	-0.36423871	-0.52450814	-1.60539364	-1.36357869	0.26666658	0.429999559	-0.39692521	-0.13942645	-0.77364429	0.20583157	-0.06202529	0.294828993	0.621008777	-0.13422537	-0.16460269	0.44645062	0.26240664	0.25651989	-0.03995164	-0.0384742	-0.75194882	-0.58736324	-0.87677393	-1.39495485	-0.7808483	-0.80824007	-0.16453937	0.26018501	-0.17249477	-0.25384955	0.3230293	0.594760386	-0.14738149	0.17365403	0.61067222	0.37575834	-0.11030735	-0.80096539	0.300534707	-0.242708983	-0.734594713	-0.620674043	0.081864347	-0.211485473	-0.045031103	-0.007031523	-0.546528916	-0.795699266	-0.247964766	-0.484534726	0.197375814	0.067138054	1.352832573	0.767518416	-0.316874556	-0.339709716	-0.452824466	-0.617876356	-0.416984086	-0.567622856	0.216558724	0.851837691	0.110990804	0.230885954	-0.222446626	-0.725264026	-0.277137436	0.385643094	-1.051322606	-0.716014486	0.046586364	-0.230112836	-0.000524616	0.160671784	-0.550885526	-0.376797346	-0.004375036	0.320874844
Piga	0.651087984	0.433982867	0.703454212	0.50821975	0.762271538	0.138293736	0.171857833	-0.089343953	0.004197539	0.304652475	0.153652025	0.357491305	0.45105469	0.286675494	0.154513411	0.411988778	0.018993566	-0.103559283	0.443745183	0.574981607	-0.03210239	0.327770936	0.56158811	0.141095189	-0.136528548	0.34071904	0.884801475	0.508584322	0.238019994	0.222719891	0.313660069	0.610536198	0.371126183	-0.090392673	-0.026555642	0.632442166	0.643060283	0.273462272	0.128375332	0.193878714	0.012735173	0.447851484	0.782549722	0.774632256	0.520186097	-0.107393625	0.007876364	0.532095638	0.100993721	0.185678555	0.39314121	0.496751467	0.381704738	0.212179538	0.152231977	0.139804232	-0.015025168	0.389837267	0.188211442	0.405306473	-0.091113867	0.97556799	-0.055872793	0.574815017	0.477762621	0.486045426	0.099856615	0.401041477	0.5517974	0.37196762	0.245905118	0.444896935	0.431267419	-0.187877297	0.392395608	0.151549892	0.147063454	0.436376392	0.369372897	0.479938113	0.57958644	0.311387362	0.248076185	-0.228307184	-0.397679536	0.593947359	0.352233038
Lpgat1	-0.292022358	0.121861811	0.078373744	0.102487329	0.065743124	0.122426284	0.344925616	0.050616164	0.113567572	-0.122274661	0.138785715	-0.399235606	-0.211324332	0.396928983	0.494287259	0.111548816	0.018936964	0.479834099	0.042035216	0.169171184	-0.333801736	0.03631854	-0.706363838	-0.227253923	0.289185325	0.427912911	0.636282131	0.560947225	0.257906846	-0.180661255	-0.203845039	0.120917149	-0.071416718	-0.220399951	-0.200438657	0.040303045	0.185531828	0.03628114	0.111245178	0.479154618	0.784589219	-0.233472776	0.163767223	0.854299854	0.534378726	0.038726055	-0.091207771	0.035038601	-0.498974094	0.6441621	0.451937726	0.002452484	-0.034800111	0.404256919	0.01351291	-0.006913203	-0.027584367	0.193532299	0.264070107	0.532793335	0.15668689	0.714119563	0.213889681	0.744006339	0.51112127	-0.288763211	-0.343600562	-0.088303704	0.020613304	-0.049860478	0.070553154	0.265895222	0.10186995	0.422131235	-0.111903809	0.067856034	-0.272439525	0.309945493	-0.140849712	-0.013223133	-0.138344396	0.138307201	-0.051506331	0.192109665	0.031799573	0.061413741	0.359752686
