data	B6_i	B6_ii	B6_iii	B6_iv	B6_v	D2_i	D2_ii	D2_iii	D2_iv	BXD1_ii	BXD2_i	BXD2_ii	BXD5_i	BXD5_ii	BXD6_i	BXD6_ii	BXD8_i	BXD9_i	BXD9_ii	BXD11_i	BXD11_ii	BXD12_i	BXD12_ii	BXD13_i	BXD14_i	BXD14_ii	BXD15_i	BXD15_ii	BXD16_i	BXD16_ii	BXD18_i	BXD18_ii	BXD19_i	BXD19_ii	BXD20_i	BXD20_ii	BXD22_i	BXD22_ii	BXD27_i	BXD27_ii	BXD28_i	BXD28_ii	BXD29_i	BXD29_ii	BXD32_i	BXD32_ii	BXD34_i	BXD34_ii	BXD39_i	BXD39_ii	BXD40_i	BXD40_ii	BXD42_i	BXD42_ii	BXD43_i	BXD43_ii	BXD44_i	BXD44_ii	BXD48_i	BXD48_ii	BXD50_i	BXD50_ii	BXD51_i	BXD51_ii	BXD55_i	BXD55_ii	BXD60_i	BXD60_ii	BXD64_i	BXD64_ii	BXD68_i	BXD68_ii	BXD69_i	BXD69_ii	BXD73_i	BXD73_ii	BXD75_i	BXD75_ii	BXD79_i	BXD79_ii	BXD83_i	BXD83_ii	BXD86_i	BXD86_ii	BXD89_i	BXD70_i
Cd38	0.598864344	-0.22532216	0.30692557	0.28714869	1.079086807	0.23311897	-0.53157198	-0.04945568	0.41208864	0.96740766	-0.202878939	0.041131681	0.23324453	0.20660403	-0.436818555	-0.82537095	-0.086393264	0.00530979	0.5206471	-0.2059823	0.17664651	-0.321473678	0.25790324	0.162212107	0.26479394	0.32517036	-0.03471238	-0.12660756	0.23370668	0.20338481	-0.190889483	-0.347173628	0.79800136	0.998076303	0.27141842	0.41605367	-0.20564566	-0.38186949	-0.20018618	0.64000321	-0.756347935	-0.25735022	-0.28237909	-0.28801452	-0.40930372	-0.850609585	-0.158125203	-0.608651684	0.523874267	-0.405165533	0.491004117	-0.378795342	0.358829417	0.154271117	0.262708008	-0.085542019	-0.762424712	-0.625423222	0.600419478	-0.065567272	-0.233539482	-0.241181032	-0.064554752	-0.307091902	0.267401668	-0.257776016	-0.278957912	-0.206594008	-0.083826122	-1.142607412	0.541021178	0.252024008	-0.554560261	0.131487814	0.561945348	0.278728148	0.001861088	0.470857308	-1.069233742	0.099654528	0.354070648	0.746606138	-0.682520874	-0.312189582	0.281429418	0.424752218
Trim21	1.94739899	2.920681035	2.805860623	2.501949784	2.830003108	1.766685515	1.973999368	1.87887839	1.955792382	2.436661934	1.668813093	1.451613604	0.13494186	1.169473013	1.677639003	2.281662552	1.796278326	1.357009902	2.052461991	0.884529994	1.595903486	2.979369238	1.961093654	1.238293041	2.383557567	3.066421992	1.895510494	2.056415246	2.176591831	2.534518377	2.122189956	1.34333476	2.76453167	3.137103823	2.642018606	2.313796499	1.75945955	2.115007392	1.036674184	1.095370716	0.957891668	1.447960517	1.704960266	1.726128118	1.685631618	2.429132118	1.50811879	1.774413937	1.900653643	2.005029698	2.0806164	1.730530225	1.735968003	2.346739543	2.162739533	2.455352285	2.051858909	1.698553213	1.604829384	1.532747875	2.456885278	1.746196605	1.300956881	2.056411158	1.730654764	2.037070092	2.803234783	2.547913073	1.849001428	2.68277016	1.772957948	2.38952379	1.981919833	1.15324849	1.294452169	1.419046031	1.681238535	2.034527626	2.121745156	1.487322155	1.608336721	2.060290418	1.557235367	1.469634112	2.103584605	0.827487117
Kpnb1	-0.45823981	-0.41750716	-0.44152217	-0.28409898	-0.5616601	-0.17134646	-0.28606181	-0.10987015	-0.61044143	-0.54737378	-0.11755041	-0.16840892	0.08484061	-0.13705362	0.18951735	0.01378963	-0.16535669	-0.19070771	-0.11412219	-0.23083019	-0.14476326	-0.8358342	-0.43794337	-0.28179479	-0.41255425	-0.52411448	-0.1327187	-0.11986518	-0.31338935	-0.43922425	-0.08542913	-0.29310019	-0.72529466	-0.91006645	-0.52336871	0.25017699	-0.10303693	-0.63381402	0.00417048	-0.15666335	-0.33572513	-0.43835099	-0.29492502	-0.11482385	-0.38164435	0.06688416	-0.281881678	0.124692792	-0.317782638	-0.469817328	-0.193449368	-0.133536958	-0.368137818	-0.464475858	-0.137903727	-0.365855317	-0.237536237	-0.217110287	-0.334376867	-0.472385017	-0.693514517	-0.693301715	0.206612973	-0.064789987	0.162126693	-0.109700517	-0.280039337	-0.045163907	-0.120875577	-0.612613547	-0.418555257	-0.471649727	-0.273217507	0.260626153	-0.390218497	-0.238520767	-0.178446097	-0.285454307	-0.540268027	-0.177283727	-0.290263047	-0.440886917	-0.108525867	-0.314312947	-0.153508867	-0.095862757
Six1	1.05525498	0.86814782	1.012297729	0.861576635	1.438131856	1.010611097	0.474946538	0.682893283	1.55350298	1.424304063	0.794343976	0.283492398	0.099127346	0.327097045	0.236255407	0.43413828	1.469326448	0.56346078	0.751953904	0.705790518	0.70657641	1.468716431	0.814822703	1.217083833	0.813196678	0.992183538	0.431990184	0.535627168	1.074297657	1.101589672	0.452054311	0.219866966	0.7500321	1.407642848	1.355875518	0.845382315	0.073120028	1.018143382	0.622506145	0.241701465	0.867491251	0.625873268	0.351361489	-0.055757355	0.158446378	0.547074344	0.6170401	0.710189482	0.71932365	0.359057229	0.393051735	0.697136116	1.073136964	1.108085326	0.940111063	0.697249706	0.587843757	0.666246539	1.20505173	1.441729683	1.693439416	0.691768193	0.78287634	0.265973882	1.230690062	0.496711863	0.990327862	0.387379082	0.461225039	0.929976152	0.433847256	0.324316298	0.245441026	0.228184939	1.823776055	0.696311713	0.540908118	0.816485379	0.548801985	0.74348309	0.338142868	0.709213336	0.049140089	0.142564841	0.264753221	0.807691831
Slfn8	4.582281142	4.13045139	4.372989442	3.976847266	4.529134218	2.50023108	2.85677717	3.12813509	3.23989613	4.73800579	2.827551022	2.237559901	0.59078342	1.66272331	2.45767519	2.91080137	3.2133297	2.74091797	2.980508818	2.863972769	3.875111512	3.34950539	3.40900703	3.335971225	3.31484024	3.28035632	2.7191216	3.09753317	3.31523714	3.81621417	3.759770427	3.428184199	4.699970829	4.44366388	3.35336684	4.819330439	2.60892972	3.01581666	2.967841755	2.829063999	2.948587592	3.147867423	2.15661082	2.633851476	2.81099786	3.13841442	2.523036081	3.802182902	3.620268726	3.352812848	3.281006347	2.043828581	3.054607941	3.183717881	3.131703207	3.163500468	2.512258707	2.715291394	3.37138605	3.03969885	2.563270027	2.517120157	2.796039406	3.500733405	3.052360247	3.141036437	3.470261708	3.501735131	3.209016862	2.962315887	4.029982543	3.618754057	2.609015137	2.335842517	2.003174077	2.936151327	2.860432376	3.325217677	2.708883017	3.048405977	3.135279232	3.879958861	2.654889207	2.717895469	3.694284129	3.132160427
Palld	1.449899331	0.632080462	0.282386892	1.507568569	1.091910848	-0.311316997	1.419237105	2.165741565	2.089462716	0.749544891	1.061824287	-0.656698206	1.272219627	2.246619707	1.06542844	1.764025247	0.637947613	-0.095502302	1.433965295	-0.273096495	0.901041923	1.268203109	-0.344833963	-0.959866698	1.494079783	1.132361197	1.740813292	1.456450582	-1.733057265	1.054055846	-0.936441401	1.400439211	1.947549853	1.024190483	2.315517781	-0.254677879	0.437531455	-0.626525364	0.867992349	-0.522758649	-0.449619828	0.813356642	1.36679153	1.494306939	-0.196470129	1.170171973	1.128767047	-1.669171033	1.402687801	1.481672308	0.776080521	0.498304736	1.244055343	0.864063529	0.335138839	0.593501341	2.091338863	1.288293468	-0.507811376	-0.0188594	0.76344588	1.297337202	-0.15691316	0.586050741	-1.055857911	-1.060814717	-0.058243795	1.187424312	0.209286327	0.860325843	0.592084126	1.702809844	-0.038027554	-0.124284427	0.539370963	0.124144753	2.076516171	1.079006236	0.914900681	1.371935906	0.740798464	1.376432559	0.778102221	0.877874938	0.753022115	0.726743336
Klrk1	1.436961864	0.935091343	1.284109513	0.334577499	1.520946493	1.812122136	1.478203748	1.690029586	2.215829807	3.512679755	0.347346734	0.094545467	0.05972261	0.156092733	-1.180144352	-0.714576826	1.291040649	1.415765722	1.141368209	0.574304377	1.219540747	0.991794483	1.262496351	1.16641222	0.694834863	0.486249036	1.20148887	1.775151556	0.889379941	2.267459484	-0.431679168	0.629257901	3.820401998	4.653124236	0.610392958	-0.295156945	0.613854228	1.625142786	-0.289939056	-0.395981531	0.227071287	0.91502369	0.636732924	0.794471064	1.17396207	1.05014692	0.870088187	0.763094918	1.528318606	1.603573465	0.740283678	0.635414054	0.510619865	1.00560729	0.876051336	0.573739264	1.628794295	1.594794467	0.206531256	1.203849347	1.01883768	0.821582778	1.414468958	1.036445467	0.073939552	0.276781188	1.815229783	1.651003434	1.185938745	1.265656651	0.38741226	0.841061468	2.036862008	0.62439495	0.73115453	1.01116043	1.760805891	1.737322527	0.618437587	0.319336717	1.203243904	1.20976588	0.538385737	0.303682203	1.017801004	0.44430465
Ptgir	0.24189816	1.17505518	0.98491826	0.32255042	0.60033661	0.49343613	0.71233824	0.36472179	0.79491588	-0.01369678	0.34285056	0.2042281	0.28891081	0.568060489	1.08028271	0.58499466	-0.43949648	0.18592403	0.42402492	0.386525134	0.505929207	0.66423595	0.54512624	0.06308374	0.44423465	0.86546931	0.36168651	0.71665894	-0.12858482	0.41240522	-0.16447117	0.30693488	-0.24357836	0.21417458	0.36726628	0.74326644	0.40096252	0.63852117	0.36206912	0.595049076	0.30617437	0.88769777	0.92772572	0.66687135	0.78311033	0.01301941	0.782356794	0.636205834	0.027005654	0.265917054	0.554610444	0.187175634	0.622466044	0.275271354	0.654885909	0.606562209	0.817621719	0.238755929	0.502431579	0.487236539	1.377847018	1.307894201	-0.127709971	0.559543879	-0.000953591	0.333119419	0.344276559	0.426245219	0.662299319	1.091456506	0.283126139	0.591524349	0.632708159	-0.307050081	0.231632739	0.718711719	0.245423479	-0.194595361	0.556995759	0.345094509	0.393935809	0.490867799	0.496925959	0.231400289	0.208248299	0.345178379
Piga	0.022426035	-0.104885133	0.165203352	0.171965537	0.405801624	-0.147087602	0.026196708	-0.072354939	0.303815183	0.08212023	-0.195671936	0.072978733	0.015002548	-0.068882119	-0.056174881	0.219440948	0.130606009	-0.026485128	0.180225229	-0.35564715	-0.339966176	0.156557753	-0.086778051	0.252154541	0.043152787	-0.133099947	0.210712726	0.135116311	-0.201951189	-0.271520026	0.196417895	0.053788687	-0.209991424	0.087200281	0.309744955	-0.038949188	-0.087788099	-0.341749179	0.045691057	-0.06332703	-0.071108204	-0.44092529	0.046390905	0.093382175	-0.112077941	-0.232676117	0.160360296	-0.322005928	-0.080236266	-0.352559466	0.134300749	-0.232597791	0.2605299	0.203376735	-0.198752876	-0.031492455	-0.195017381	-0.161420525	-0.360904203	-0.236488565	0.310603671	0.010022533	0.078062294	-0.116062656	-0.076685866	-0.176615139	0.334249921	-0.139137369	0.101805611	0.261069634	-0.434113599	0.019963989	-0.099989411	0.19242547	-0.026123906	-0.082444693	0.46028789	0.386106545	-0.37142696	0.070743384	-0.335625916	0.03987437	-0.079911492	-0.002537896	0.134662005	-0.248973339
Lpgat1	-0.180224069	0.068774717	0.383029969	0.089348907	-0.168217827	0.17594883	0.306597844	-0.075666044	0.454408841	-0.357887537	-0.116301727	0.186845934	0.279134895	0.374433335	0.126854745	0.390433829	-0.00417283	-0.346781025	0.238017824	-0.003267362	-0.046789999	0.090579128	-0.465250713	-0.089590974	0.207938386	0.253042679	0.320994983	0.02573454	-0.085023743	-0.306338769	-0.067973029	0.140153451	-0.097329468	-0.107460315	0.075203451	0.301738082	0.105455405	-0.236904832	0.330479536	0.336558244	0.182909328	0.175282804	0.626238628	0.175060366	0.1342051	0.028013228	0.322752837	0.080667867	-0.085724566	0.078929611	0.110995283	0.040591343	0.104150762	-0.018474263	0.016345148	0.036979593	0.239168973	0.480168565	-0.21701303	-0.170764705	0.538177062	0.021199852	-0.181388177	-0.019262991	-0.260605211	-0.270407434	0.006704042	0.017577247	0.255815215	0.403021942	0.082249242	0.148867424	0.310299888	0.19711243	0.337873847	-0.204239903	0.502730251	-0.233870326	0.275427929	-0.145480082	0.168880045	-0.129331473	0.29104546	-0.019834877	-0.123850783	-0.086896006
