data,B6D2,BXD1,BXD100,BXD101,BXD102,BXD103,BXD11,BXD12,BXD14,BXD24,BXD27,BXD29,BXD31,BXD32,BXD34,BXD39,BXD40,BXD42,BXD43,BXD44,BXD45,BXD48,BXD49,BXD50,BXD56,BXD60,BXD62,BXD63,BXD65,BXD68,BXD69,BXD70,BXD71,BXD73,BXD75,BXD79,BXD80,BXD83,BXD84,BXD85,BXD87,BXD89,BXD90,BXD92A,BXD95,BXD97,BXD99,C57BL/6J,D2B6F1,DBA/2J
1110032A03Rik,10.566,10.652000000000001,10.874500000000001,10.782,10.741,10.4505,10.821,10.333,10.245,10.674,10.809999999999999,10.4835,10.7,10.633500000000002,10.8755,10.041,10.428,10.363,10.916,10.411999999999999,10.782499999999999,10.766,10.353,10.395,10.7275,10.484,10.952,10.422,10.4895,10.753,10.5845,10.600999999999999,10.773499999999999,10.7255,10.2285,10.587,10.6645,10.556000000000001,11.093,10.5845,10.452,10.4065,10.534500000000001,10.555,10.4775,10.58,10.6995,10.741,10.715499999999999,10.34
2010107E04Rik,10.514,10.5735,10.4915,10.048,10.309,10.3955,10.1115,10.031,10.418,10.633,10.0085,10.308,9.9055,10.358,10.6355,9.61,10.304,10.248,10.344,10.1845,10.501999999999999,10.329,10.745,10.054,10.171,10.36,11.049,10.326,10.5855,10.169,10.5885,10.248000000000001,10.506499999999999,10.3155,10.52,9.993,10.4715,10.482,10.917,10.377500000000001,10.209,10.2945,10.1325,10.29,10.429,10.4665,10.4975,10.5915,10.7375,10.538
2610005L07Rik,12.1265,11.9795,12.5395,12.2255,12.055,12.183,12.271,12.074,12.693,12.241,11.962499999999999,12.424,12.376,12.359,12.431000000000001,12.609,11.9415,11.788,12.098,12.183,12.3015,11.885,11.991,12.0185,12.324,12.184000000000001,11.770499999999998,11.809,11.849499999999999,12.458,11.9375,12.3105,12.253499999999999,12.1495,12.349499999999999,12.349,12.044,12.55,12.226,12.3845,11.6885,12.022,11.9235,11.805,12.2265,12.0,12.5095,11.875,12.1755,12.470500000000001
4932438A13Rik,11.415,11.674,11.8045,11.297,10.929,11.4985,11.521,11.713,11.651,11.069,11.455,11.3585,11.488,11.2965,11.687999999999999,11.364,11.438500000000001,11.314,11.39,11.2925,11.0765,11.196,11.122,11.483,11.589,11.1705,11.163,11.492,11.305,11.407,11.061499999999999,11.065999999999999,11.5905,11.474,11.5015,11.265,11.4435,11.632,10.607,11.28,11.074,11.3525,11.6875,11.264,11.2255,11.334,11.314499999999999,11.268,11.5155,11.6965
4933409K07Rik,10.132000000000001,7.479,7.8035000000000005,7.801500000000001,7.493,7.9955,10.6395,11.458,10.648,7.986,10.7095,10.959,8.257,10.8335,10.911999999999999,7.805,8.5585,10.706,7.994,7.9795,7.8535,7.728,7.722,7.752,7.6419999999999995,8.1235,10.448,10.703,7.8725000000000005,7.7065,10.317,7.677,10.711500000000001,9.8905,10.532,7.475,7.8004999999999995,10.3845,7.924,10.6515,10.736,7.3795,7.59,7.720000000000001,7.857,7.464499999999999,7.997999999999999,10.728,10.6215,7.9525
5830428H23Rik,10.447,10.481,11.032499999999999,10.744,10.016,9.965,10.222999999999999,10.682,10.481,10.565,10.185,10.824,10.785499999999999,10.4315,10.499500000000001,11.063,10.312000000000001,9.995,10.075,9.831,10.3285,10.2595,9.737,9.9555,10.566500000000001,10.2915,10.573,10.679,10.1265,10.305499999999999,9.682500000000001,10.16,10.1665,9.7985,10.5755,10.117,9.8,10.4125,10.531,10.2005,10.005500000000001,10.0545,10.649000000000001,10.07,10.129999999999999,10.2075,10.220500000000001,10.589500000000001,10.6485,10.436499999999999
6820431F20Rik,12.3095,12.342500000000001,12.849,12.529499999999999,12.188,12.2395,12.498000000000001,12.373,12.705,12.499,12.267,12.746,12.719999999999999,12.694500000000001,12.6835,12.992,12.247,12.185,12.191,12.2365,12.3485,12.3095,11.944,12.313500000000001,12.6045,12.343499999999999,12.0885,12.203,12.155000000000001,12.692499999999999,12.0125,12.667,12.5765,12.319500000000001,12.579,12.565,12.225999999999999,12.888,12.35,12.6205,12.1035,12.2135,12.530999999999999,12.211500000000001,12.5165,12.358,12.695,12.1415,12.597000000000001,12.708
Alad,11.3065,12.004,11.8565,11.859,11.723,11.693000000000001,10.797,10.842,11.08,12.095,10.7285,10.8475,10.718499999999999,11.016,10.774000000000001,10.697,11.0785,10.85,11.833,11.738,11.776,10.837499999999999,11.755,11.7835,11.9075,11.798,11.914000000000001,10.75,11.8315,11.782,11.786999999999999,11.78,11.775500000000001,11.783999999999999,11.722000000000001,10.897,11.916,11.879999999999999,12.271,11.859,10.783,11.836500000000001,11.9,11.885,11.8035,11.798,11.6435,10.753,11.4435,11.8535
Anxa5,11.288499999999999,10.7905,10.6385,11.299,11.42,11.314499999999999,11.2295,11.268,11.125,10.675,11.331499999999998,11.118,11.3835,10.943000000000001,11.0165,11.087,10.935500000000001,11.728,11.254,11.4795,11.6155,10.9465,11.685,11.293,11.122,11.2175,10.951,11.259,11.379999999999999,11.3355,11.337,11.491,11.510000000000002,11.317,11.119,11.51,11.0775,11.085,10.857,11.4095,11.602,11.369499999999999,10.932,11.43,11.561499999999999,11.206499999999998,11.4085,11.450500000000002,11.091000000000001,11.1425
Asah1,10.429,10.650500000000001,10.77,10.9185,10.289,10.2965,10.3085,10.903,10.513,10.439,10.758,10.533999999999999,10.478,10.499,10.4555,10.792,10.6025,11.073,10.535,10.286000000000001,10.190999999999999,10.354,10.439,10.325,10.7635,10.687000000000001,10.6815,10.235,10.690999999999999,10.8605,10.305,10.8205,10.233,10.337499999999999,10.641,10.503,10.4565,10.455,10.181,10.474499999999999,10.436499999999999,10.713999999999999,10.800999999999998,10.955,10.303999999999998,10.6595,10.298,10.595500000000001,10.592,10.357
