data,B6D2F1,BXD1,BXD11,BXD11TY,BXD12,BXD13,BXD14,BXD15,BXD16,BXD19,BXD2,BXD21,BXD23,BXD24,BXD28,BXD29,BXD31,BXD32,BXD33,BXD34,BXD36,BXD38,BXD39,BXD40,BXD42,BXD43,BXD44,BXD45,BXD48,BXD5,BXD51,BXD6,BXD60,BXD62,BXD69,BXD73,BXD77,BXD8,BXD85,BXD86,BXD9,BXD92,C57BL6J,DBA2J
1300010F03Rik,1.4816666666666667,1.2885,2.233,1.739,0.797,1.2285,1.581,2.0495,1.125,1.8815,0.8594999999999999,1.0705,1.6535,0.8665,0.9560000000000001,2.04,1.1669999999999998,1.8584999999999998,1.7925,2.2009999999999996,1.6935,1.0725,-0.806,2.0060000000000002,2.041,2.0860000000000003,2.0315,0.8025,0.9505,1.429,0.9410000000000001,2.069,1.7235,1.333,1.8715000000000002,1.2635,1.804,2.034,1.0865,1.0295,2.0545,1.6440000000000001,1.0852727272727274,1.7845
1700007B13Rik,2.3024999999999998,2.872,1.416,1.455,1.6015000000000001,2.9665,1.568,1.4075,1.3785,1.502,2.186,1.6335000000000002,2.2355,1.2025000000000001,1.213,2.5919999999999996,1.3815,2.868,1.3780000000000001,1.4985,1.5075,2.7955,2.8674999999999997,1.6695,2.6925,1.4249999999999998,1.4344999999999999,1.4865,3.2255000000000003,2.5460000000000003,2.508,1.2265000000000001,2.4015,2.4939999999999998,1.6059999999999999,0.9369999999999999,3.0300000000000002,2.061,2.643,2.9105,2.6144999999999996,2.7195,1.6443181818181818,2.6789285714285715
1700011A15Rik,0.43366666666666664,0.5840000000000001,-0.203,-0.589,-0.112,0.3765,-0.1475,-0.09649999999999999,-0.623,-0.6205,0.605,0.007000000000000001,0.5125,-0.2645,-0.08449999999999999,0.05499999999999999,0.6194999999999999,-0.218,0.708,0.7985,0.6275,-0.013000000000000001,0.692,-0.21450000000000002,0.0315,0.5415,0.743,0.8365,0.772,0.606,1.016,0.6679999999999999,0.5655,-0.218,1.4340000000000002,1.4975,0.47050000000000003,-0.392,1.5594999999999999,0.9470000000000001,0.7815,1.377,0.8576818181818182,-0.104
1700112E06Rik,0.7641666666666667,0.37,0.034,1.564,-0.4575,-0.2125,0.278,0.351,0.7285,1.299,0.966,0.176,0.19200000000000003,0.3495,-0.272,0.246,0.7180000000000001,0.8280000000000001,1.629,0.82,1.4055,0.6955,0.8215,0.3245,0.5515,0.9905,0.3645,1.185,0.607,-0.155,1.627,0.767,1.1075,1.1804999999999999,1.7269999999999999,2.3545,0.469,0.13999999999999999,1.7285,1.51,0.1565,1.4245,0.9607272727272727,0.6615714285714286
2010003K11Rik,1.3086666666666666,1.6035,1.713,0.948,0.9735,1.3035,3.0955,1.6285,1.738,1.0685,1.1215000000000002,2.775,1.891,4.192,2.7944999999999998,1.7865,1.282,1.793,0.9810000000000001,1.979,1.3555000000000001,1.9515,2.2714999999999996,1.1145,1.461,2.2485,2.4785,0.5935,2.521,2.6285,1.407,2.0355,2.7725,2.4299999999999997,1.6475,1.335,1.8815,1.1495,1.3535,1.3085,3.296,0.7115,1.3666363636363636,1.9067142857142856
2310007B03Rik,-1.8025,-1.577,-1.607,-1.647,-1.5385,-1.381,-1.9489999999999998,-1.2719999999999998,-1.7494999999999998,-2.032,1.8805,-1.736,-1.877,-1.8815,-1.4689999999999999,-1.575,-1.693,-1.668,-1.634,-1.8595000000000002,-1.8495,-1.629,-1.697,-1.7495,-1.689,-1.6055,-1.621,-1.692,-1.779,-1.54,-1.9805,-1.6324999999999998,-1.306,-2.058,-2.2039999999999997,-1.874,-1.5815000000000001,-1.665,-2.0075000000000003,-1.818,-1.5865,-1.746,-1.749090909090909,-1.6967857142857141
2410124H12Rik,0.6071666666666666,-0.324,-0.284,-0.15,1.1655,-0.3525,0.9259999999999999,1.1099999999999999,-0.1375,0.8354999999999999,1.091,1.0025,0.9810000000000001,-0.4365,0.946,0.9329999999999999,1.5155,-0.3005,-0.051000000000000004,-0.26649999999999996,0.5609999999999999,-0.361,-0.2495,1.055,-0.4145,-0.41600000000000004,-0.4595,1.1745,1.195,1.2435,-0.248,-0.22849999999999998,-0.2635,-0.46,-0.2555,0.0855,-0.4145,-0.3485,-0.355,1.113,-0.359,-0.3825,1.336818181818182,-0.3656428571428571
5730510P18Rik,0.9168333333333334,0.0615,1.317,1.951,1.363,0.1185,1.6525,0.2135,0.2085,0.261,2.0125,1.6955,1.444,1.3014999999999999,0.196,0.17650000000000002,0.9875,1.795,0.7030000000000001,1.222,0.8975,0.35050000000000003,1.092,0.7975,0.175,1.1524999999999999,1.577,1.8210000000000002,0.219,0.1915,0.34850000000000003,0.3115,1.1335000000000002,0.134,1.85,1.908,1.015,0.969,1.9965000000000002,1.677,0.373,1.7475,0.2054090909090909,1.5469285714285714
5830443L24Rik,1.4488333333333332,-0.4505,1.897,3.128,1.7975,-0.1715,0.37,-0.152,2.4995,-0.0855,2.858,2.5765000000000002,1.421,2.1915,-0.08399999999999999,2.5055,0.28,3.1025,2.871,0.11150000000000004,2.7775,2.2465,2.871,0.3175,0.03999999999999998,2.3935,2.34,0.15300000000000002,0.13949999999999999,2.4205,2.828,0.016,0.5680000000000001,3.863,0.3055,2.3455000000000004,0.2725,0.5814999999999999,2.5055,0.35050000000000003,-0.22349999999999998,-0.069,-0.11349999999999999,2.317285714285714
8030423J24Rik,0.07916666666666668,0.7965,2.474,1.138,-0.10949999999999999,-0.08549999999999999,-0.027999999999999997,-0.032500000000000015,0.47050000000000003,1.4935,0.827,-0.0625,0.29650000000000004,0.7725,-0.0645,-0.18200000000000002,-0.2285,0.572,0.5579999999999999,-0.39549999999999996,0.13,0.2995,-0.09,-0.182,-0.2115,-0.191,0.15550000000000003,0.545,0.035,-0.1805,0.616,-0.067,0.3555,-0.014499999999999999,0.4015,0.21450000000000002,0.22250000000000003,1.2325000000000002,0.7735,0.814,-0.184,0.184,0.07200000000000001,0.1272142857142857
8430408G22Rik,1.7213333333333332,2.7725,2.626,1.826,1.8250000000000002,2.232,1.0155,1.727,0.896,2.874,1.325,2.339,0.0985,1.0605,1.026,2.6879999999999997,1.2545,1.361,1.0985,2.3175,1.517,1.0485,2.6635,2.7184999999999997,2.3595,1.5425,1.9285,1.733,2.2955,2.278,1.801,0.9415,1.245,1.2315,1.459,1.5835,0.3875,1.561,1.2095,1.593,0.32099999999999995,1.336,1.2265,1.2715714285714286
9530039L23Rik,1.3226666666666667,1.5975000000000001,2.834,1.343,1.045,2.232,0.9055,0.6955,1.286,1.6515,1.2365,1.6315,0.9814999999999999,1.704,1.062,1.3195000000000001,1.0995,1.4515,1.2069999999999999,0.8545,1.6149999999999998,1.51,0.8785000000000001,1.194,1.7570000000000001,0.8344999999999999,1.0985,1.1139999999999999,0.8075,-0.08650000000000002,-0.3275000000000001,1.198,0.839,-0.47899999999999987,0.41700000000000004,-0.6869999999999999,1.542,1.897,0.7630000000000001,1.1425,1.231,1.1224999999999998,1.1529090909090909,1.1287857142857143
